Page ID,Page Name,Disclaimer,Amount Spent (GBP),Number of Ads in Library
102487121156920,Dumfries & Galloway Liberal Democrats,Galloway Liberal Democrats,≤100,2
2082388708489643,Bramley and Stanningley Labour Party Public,Stefan David Smith,≤100,11
822903267866482,Michael William,Michael William,≤100,2
1410304365849015,Banffshire and Buchan Coast Liberal Democrats,Anne Margaret Simpson,≤100,2
701686533351390,Worcestershire for Europe,Scientists for EU,≤100,1
868639796596609,Taunton Deane Liberal Democrats,Taunton Deane Liberal Democrats,≤100,4
369932626262,Sheila Gilmore for Edinburgh East,Scottish Labour Party,≤100,1
105011160900792,Brexit Party Bromley & Chislehurst,Oliver Mather (Prospective Parliamentary Candidate - Brexit Party),≤100,4
102248747853060,Kerry Briscoe,Tooting Conservatives,≤100,1
1532665740317736,Stephen Gethins SNP,North East Fife SNP,≤100,2
138654846240537,Carbon Co-op,Jonathan David Xxeefqbeeeiqce Zeke Zj Atkinson,≤100,1
349846382192653,Miriam Cates,Penistone and Stocksbridge Conservatives,≤100,2
1525847237696682,Councillor Steve Wright,Bury Liberal Democrats,≤100,1
1266815503439513,Nick Coates for North East Somerset,Bath and North East Somerset Liberal Democrats,≤100,2
319952302185474,Beatrice Bass Lib Dem,David Kingston,≤100,1
532959790158921,Totally Cool Stuff,Phillip John Henderson,≤100,2
863867157054945,Manchester City Centre Focus,Martin Lauri Browne,≤100,5
533863253318981,Tech Nation,Tech Nation,≤100,3
1775105112711746,Democracy Volunteers,Democracy Volunteers,≤100,1
5692339985,Kris Brown for Garston and Halewood,Kristofor Iain Brown,≤100,1
260411548212584,Scram News,Scram News,≤100,2
1436588603227138,Carrie Harper,Carrie Anne Harper,≤100,2
884529311661439,Jess Green and the Mischief Thieves,Discerning Nights,≤100,2
1458932041051269,Sarah Champion,Alexander George Guest,≤100,2
1958050034474947,Deanne Ferguson for Morley and Outwood,the Labour Party,≤100,1
388650307829032,Rachel Reeves,Office of Rachel Reeves MP,≤100,1
361953461264999,Hiddenline Architectural Design,Alex Lee Ramskill,≤100,2
868246886850934,Azhar Ali For Pendle,"Promoted by Yvonne Tennant on behalf of Azhar Ali both at 33 Carr Road, Nelson, BB9 7JS",≤100,1
1130573317069850,James Palmer,James Palmer,≤100,1
982610841862195,Greater Birmingham Chambers of Commerce,Greater Birmingham Chambers of Commerce,≤100,1
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,5
1200205356687652,Dominic Skinner for Stratford on Avon,Stratford and South Warwickshire Liberal Democrats,≤100,4
2317607811842434,Mike Galsworthy,These ads ran without a disclaimer,≤100,1
122155969183541,"Amanda Burgauer SNP - For Dumfriesshire, Clydesdale & Tweeddale",Marshall Neil Douglas,≤100,3
840419882793614,Edward Morello,Robin Edward C Morello,≤100,1
784329098278902,Boobalou,These ads ran without a disclaimer,≤100,3
940549775965601,OTS Solicitors,These ads ran without a disclaimer,≤100,2
383221332452118,Hug the Bear Media,Hug the Bear Media LTD,≤100,1
849305428451655,Lee Waters AM / AC,Lee Waters AM at the National Assembly for Wales,≤100,1
8403816082,Global Action Plan,Global Action Plan,≤100,1
7624294394,Amnesty International UK,These ads ran without a disclaimer,≤100,7
155371535076327,FM Resourcing,Ciprian Cojocaru,≤100,1
476757199396262,The Post Truth Post,spoof news site - The Post Truth Post,≤100,3
1235941459805763,Dr Kate O'Kelly,Chichester Liberal Democrats,≤100,1
115347069863099,Karen Ward,North Norfolk & Great Yarmouth Liberal Democrats,≤100,3
1440067232949163,Plaid Cymru Clwyd West,Huw Elfed Williams,≤100,2
919540378133052,Sharon Green-Wilson,Stephen John Lynas,≤100,2
839571102748292,ChannelMum.com,ChannelMum.com,≤100,2
1659248294341403,The Wall of Answered Prayer,Stannard & Murden Ltd t/a Digital Church Toolkit,≤100,8
723614484384879,Foyle Socialist Party,Daniel Francis Hugh Waldron,≤100,1
896407737212123,James Fredrickson for Oxford West & Abingdon,Nathanael Boyd,≤100,2
302395856567114,Headspace Group,Justin James Clarke,≤100,2
2013809572190708,Neil Puttick for Macclesfield,Macclesfield Constituency Labour Party,≤100,4
551183884918288,Mary Creagh,Mary Creagh MP,≤100,5
117314945645,Windsor Liberal Democrats,Windsor Liberal Democrats,≤100,1
100775521349297,Lorna Robertson for Ochil & South Perthshire,Craig Miller,≤100,2
109474510429519,Lewis Fripp PPC Chelmsford,The Brexit Party,≤100,1
1866252676923583,James Craigie,James Andrew Craigie,≤100,2
101488307862906,Martin Goss - Liberal Democrat Parliamentary Spokesperson for Colchester,Martin Andrew Goss,≤100,2
169116913593351,Dulcie Tudor LD,Mrs Dulcie Patricia Tudor,≤100,2
356239545000760,Cllr Jane Ashworth,Jane Ashworth,≤100,2
305696067872,Easington Constituency Labour Party,Easington CLP,≤100,1
430016723726801,Business for Scotland,Business for Scotland,≤100,2
355277694874691,Lesley Laird for Kirkcaldy and Cowdenbeath,Scottish Labour Party,≤100,3
145517592651789,Sarah Church South Swindon,South Swindon Labour,≤100,3
113777810029081,LivehereLovehere,Brighton Kemptown Conservatives Association,≤100,3
929880330544519,Eastbourne for Europe,Eastbourne for Europe,≤100,2
2012528165735154,Equal Pay Now,These ads ran without a disclaimer,≤100,1
243450919482212,Psydro,Justin James Clarke,≤100,3
1921756234706727,Haslemere Today,Simon Paul Dear,≤100,1
1716409835314589,Claire Hanna,Claire Hanna,≤100,2
148571029334692,Cllr Dave Plummer - Waltham Abbey Greens,David Alan Plummer,≤100,2
363004671195844,V.P. Rosie,Vlada Prakopoviene,≤100,1
101884291199439,"Dinah Mulholland, Labour",David Anthony Breeze,≤100,2
713137015369387,South Dorset Conservatives,Najmi  Alidina,≤100,1
157611834294301,Yvette Cooper,Labour Party,≤100,1
106973357384037,Cllr Kathryn Owen,Kathryn Shirley Owen,≤100,2
101351397902832,Ludlow Constituency Liberal Democrats,Ludlow Liberal Democrats,≤100,2
1172350986275928,Andy Carter PPC,Andrew John Carter,≤100,1
824019727657580,Hyndburn Labour,Graham Peter Jones,≤100,2
1304339753013615,Mohammad Yasin,Mohammad Yasin,≤100,2
714914231854633,Pam Duncan-Glancy,Scottish Labour Party,≤100,1
183759769950,First News,First News- The Newspaper for Young People,≤100,2
105349067539337,Andrew Kerry-Bedell,Adrian Geoffrey Moss,≤100,4
342812792809619,Mitch Benn,Mitch Benn,≤100,2
415898475450017,Arundel & South Downs Lib Dems,Arundel & South Downs Lib Dems,≤100,2
267893688022,Dwagie大支,These ads ran without a disclaimer,≤100,1
593248331017521,Charlotte Cornell - Labour Parliamentary Candidate for Dover & Deal,The Labour Party,≤100,4
198550320919210,Nicola Bowden-Jones for Kingswood Labour,Kingswood Labour Party,≤100,1
170274626335436,Scottish Environment Protection Agency (SEPA),Scottish Environment Protection Agency (SEPA),≤100,1
119857189403549,Julia Aglionby,JULIN. CATHERINE WEIR AGLIONBY,≤100,1
293677741151422,Mitcham & Morden Tories,Mitchan and Morden Conservatives,≤100,2
982606878542677,Marsha de Cordova,Battersea Labour Party,≤100,2
538682579877852,Shorebox,These ads ran without a disclaimer,≤100,2
129032570500399,NCS - National Citizen Service,These ads ran without a disclaimer,≤100,3
1026202547412043,Burghfield and Mortimer Labour Party,Andrew Crawford Croy,≤100,1
159739783098,Loughborough College,Loughborough College,≤100,1
778324842322384,Greg White for Pickering,Gregory Briam White,≤100,2
475227299635374,Source.Property,Armando  Coletta,≤100,2
178560012325019,George Eustice,Conservative Party,≤100,1
1701801643366314,Westbury & Henleaze Lib Dems,Bristol Liberal Democrats,≤100,1
1204653283029621,Scrap the Welsh Assembly - SWA,Scrap the Welsh Assembly - SWA,≤100,1
102829741166944,Nickie Aiken,Cities of London & Westminster Conservatives,≤100,2
380517065668395,Banbury for Europe,Scientists for EU,≤100,1
225712204244298,Ashley Dalton - working for Rochford & Southend East,The Labour Party,≤100,1
260012884055691,Metropolitan Police Service,Metropolitan Police Service,≤100,1
161475840546978,Young's Pubs & Hotels,These ads ran without a disclaimer,≤100,1
1631875723795674,Hefin David AM,"Hefin David AM, Assembly Member for Caerphilly",≤100,2
195153023994955,Guildford Labour,Guildford Labour Party,≤100,1
1700506176913718,Rachel Maclean for Redditch,Redditch County Conservative Association,≤100,1
485987098172807,Mark Pawsey,Yousef Dahmash,≤100,2
407694176283472,Pat McFadden,Patrick Mcfadden,≤100,4
107334993856,National Theatre Live,These ads ran without a disclaimer,≤100,4
1847912222147101,Diogo Rodrigues,Diogo Jose Nobrega Rodrigues,≤100,5
107573010628454,Workington Constituency Labour Party,Jamie Michael Harrison,≤100,3
1108918655919794,Laura Smith For Crewe and Nantwich,Crewe and Nantwich Labour Party,≤100,1
20550602416,Attila the Stockbroker,John Charles Baine,≤100,3
103852234366555,Wendy Maisey PPC,Warrington Conservatives,≤100,2
1102405259832256,Andrea Bradley 4 Labour,Andrea Ivy Bradley,≤100,4
266616873380292,Norfolk County Council,These ads ran without a disclaimer,≤100,1
1267260966707205,Lee Anderson For Parliament,The Conservative Party,≤100,1
1533230256924257,Etergo,These ads ran without a disclaimer,≤100,2
301790566852530,Councillor Tom Ashton,Thomas Robert Ashton,≤100,1
109759043695899,Cllr Jim Anderson - East Retford West Ward,James Richard Anderson,≤100,1
561859477303898,Northern Ireland Humanists,Northern Ireland Humanists,≤100,1
1580683952054872,Staffs4Europe,Scientists for EU,≤100,1
1266420276809167,Vicky Ford,Vicky Ford MP,≤100,2
206156139508220,TheVeganKind Subscription Boxes,These ads ran without a disclaimer,≤100,13
1877808725875477,Cllr Siobhan Strode - Labour PPC for Torridge & West Devon,James Andrew Craigie,≤100,2
1070221059803533,Lamb2ewe,THOMAS JAMES KITCHEN-DUNN,≤100,1
129472847120252,Poole Audi,Poole Audi,≤100,1
104961044289203,Stephen Petty for Walsall North,Harry Stephen Petty,≤100,3
190548294766882,Jessica Morden Labour Candidate for Newport East,Jessica Morden,≤100,1
843190192698192,Lega nel Mondo UK Eire,Anthony John L Scatena,≤100,3
938126169534790,Johnny For Plymouth,Westminster Digital,≤100,1
189845211183530,Dan Jarvis,Dan Jarvis,≤100,1
101764691216263,UniGreen,UniGreen Products Ltd,≤100,3
114360996629404,Climate Change Bond,Peter Harold Chilton,≤100,2
100476194743039,Infiniteswab,These ads ran without a disclaimer,≤100,5
100462701322259,Cotswold Brexit Party Supporters,Peter Joseph Udale,≤100,2
202480635550,Care,James Humphrey Mildred,≤100,1
172255486183714,James Duddridge,James Duddridge,≤100,2
100631297986518,Erith & Thamesmead Brexit Party,Thomas Edward Bright,≤100,1
1710629735851299,Doncaster Brexit Group,John Michael Andrews,≤100,2
2149042885162152,Vote Penny Grennan,David Craig Atkinson,≤100,1
1497539107159015,Tendring Green party,Christopher John Southall,≤100,4
248250129272720,Young Conservatives Bury,Bury Conservatives,≤100,1
144289436063611,Drax,Christopher Michael Woods,≤100,2
127818594232493,Erith & Thamesmead Conservatives,Philip David Read,≤100,2
676283905861009,Consultants for America's Veterans,These ads ran without a disclaimer,≤100,2
728183737560842,G&J Staffing,James Richard Anderson,≤100,1
84427256753,University of Sussex,These ads ran without a disclaimer,≤100,2
242808252540375,Bridgnorth and Highley Branch Labour Party,Kevin Adams,≤100,1
1059763040824007,Birmingham Ladywood Constituency Liberal Democrats,Ladywood Liberal Democrats,≤100,7
1374510596122727,Erdington News from Robert Alden and Gareth Moore,Erdington Conservative Association,≤100,2
844284949270034,Re-elect Serwotka,Reelect Serwotka,≤100,1
1434006626739679,Totem Store,David Paul Benollol,≤100,2
174227905981175,PositiveLuxury,PositiveLuxury,≤100,2
105405947541090,The Brexit Party Swansea and Gower,The Brexit Party Swansea and Gower,≤100,2
20298641808,Cardiff University Students' Union,Cardiff University Students' Union,≤100,1
105887274193467,North West Durham Green Party Dr. David Sewell,David Rogers Sewell,≤100,2
346208649409385,Chris The Counsellor,These ads ran without a disclaimer,≤100,1
153205088046363,DocHouse,Bertha DocHouse,≤100,2
118873691462974,Tim Farron,Westmorland and Lonsdale Liberal Democrats,≤100,1
6596478613,Mind,These ads ran without a disclaimer,≤100,6
196409337165221,Biomatrix Water,Biomatrix Water Ltd,≤100,1
99413700332,Meningitis Research Foundation,Meningitis Research Foundation,≤100,1
219383758255333,Chris Matheson - Chester,Chester Labour Party,≤100,2
627495881092041,defuseglobal,Philip John Grindell,≤100,5
399509303582784,Jonathan Reynolds,Jonathan Neil Reynolds,≤100,1
1423319577977826,Capital and Class / CSE Midlands,David James Bailey,≤100,2
225712204244298,Ashley Dalton - working for Rochford & Southend East,The Labour Party. Promoted by Ian Gilbert on behalf of Ashley Dalton,≤100,1
323003168115852,Rochester and Strood Labour party,Rochester & Strood Labour Party,≤100,1
111660976845536,Filia Bespoke Jewellery,Tiffany Grace Stephens,≤100,5
519513704828833,Lucy Frazer,Lucy Frazer,≤100,2
2061168587501867,Escape,Grace Bradley,≤100,1
186874346397,Nic Dakin,Nicholas Dakin,≤100,2
1394706174143553,Biju Bubble Tea,These ads ran without a disclaimer,≤100,1
243525208882,Geoffrey Cox,Geoffrey Cox,≤100,3
775818302465865,Anne McLaughlin- SNP candidate for Glasgow North East,Ruairi Kevin Kelly,≤100,1
370513743603197,Illustrated Banter,Kai Benjamin Gadd,≤100,1
2998477143711696,Gareth for Radcliffe West,GARETH EDWARD STAPLES-JONES,≤100,1
285221081974019,Conscious Homes,Conscious Homes,≤100,1
196904287337997,Cllr Andrew McCormick,Andrew David Mccormick,≤100,1
111956985487415,Social Democratic and Labour Party (SDLP),Social Democratic and Labour Party (SDLP),≤100,2
1296806880330856,Bloke Diary,Malcolm William Cox,≤100,1
680608788701284,Isobel Grant,Isobel Grant,≤100,2
206179089486382,Yeovil Liberal Democrats,Nicola Clark,≤100,1
741026925987428,Barrow and Furness Constituency Labour Party,Iain Mooney,≤100,1
435922903852786,Gill Neal,Gillian Neal,≤100,1
631536130313092,Bromley & Chislehurst Liberal Democrats,David James Martin,≤100,1
809679169207854,Neil O'Brien,NEIL JOHN O'BRIEN,≤100,1
705519689885418,Anne Clarke for Barnet and Camden,Rachel Megan Barker,≤100,1
1668585280042759,Burgess Hill Liberal Democrats,Burgess Hill Liberal Democrats,≤100,1
1010876502400974,Chris Grayling,Epsom and Ewell Conservatives,≤100,1
262125774120331,Tristan Gray,Tristan Gray,≤100,5
118407532893577,Gavin Scott Lib Dem Candidate for the Vale of Clwyd,Gavin Christopher Scott,≤100,1
102134364518797,Red Raptor Tees,Thomas Quayle,≤100,4
165438620174173,New Forest West Labour Party,The Labour Party,≤100,1
675011372583795,Richard Dickson LibDem for Kenilworth & Southam,KandSLibDems,≤100,2
171538599528966,Crowdfunder,Crowdfunder,≤100,2
1674328899493656,Orpington Liberal Democrats,Orpington Liberal Democrats,≤100,1
102935964471780,The Soapbox,Fraser Miller Kelly,≤100,1
329262860438866,Bridget Phillipson,Bridget Phillipson,≤100,2
117661796309061,West Lothian Liberal Democrats,West Lothian Liberal Democrats,≤100,3
501513956858331,Historicalmaterialism.org,These ads ran without a disclaimer,≤100,1
107485499287,Reprieve,These ads ran without a disclaimer,≤100,9
628661890480876,H&H Self Drive Van Hire,Justin James Clarke,≤100,1
1635814073379513,Cllr Stewart Mackay Addlestone North,Stewart Mark Mackay,≤100,2
447645358992435,Little Earth Baby Ltd,These ads ran without a disclaimer,≤100,1
186832651677066,Gareth Derrick - Labour Parliamentary Candidate for South East Cornwall,Gareth Gwyn J Derrick,≤100,1
155050791334658,Christine Jardine,"M. Gray on behalf of Christine Jardine (Liberal Democrat) all at 4 Clifton terrace, Edinburgh, EH12 5DR",≤100,1
341598855881352,Green Liverpool,David William Morgan,≤100,2
1059763040824007,Birmingham Ladywood Constituency Liberal Democrats,Richard William Maxwell,≤100,1
711227022228907,Mark Jenkinson,Mark Ian Jenkinson,≤100,1
539604579514789,City of Durham and Easington Conservatives,Richard Marshall Alexander Lawrie,≤100,1
595745544258133,Puddleduck Nursery,Ian Glyn Morgan,≤100,1
291787160876802,Create Gift Love,Create Gift Love,≤100,9
377018569540516,Tango Turtle - Caribbean inspired restaurant,Md Mynul Hasan Nadim,≤100,3
171326032914383,Rebecca Pow,JONATHAN FRASER-HOWELLS,≤100,1
992952320734045,Craig Whittaker,Independent Parliamentary Standards Authority,≤100,1
105201730895814,Castle Point Liberal Democrats,Dean John Anthony Murphy,≤100,2
308844286423747,Yeovil Charity Ball,Miss Lucy Jane Jones,≤100,1
271017523056784,Chris Heaton-Harris,MR CHRISTOPHER HEATON-HARRIS,≤100,1
732713603447479,John Erskine for the Highlands and Islands,John Robert Erskine,≤100,3
371989752387,Transport & Environment,These ads ran without a disclaimer,≤100,2
970389806329898,Griffiths Security Ltd,These ads ran without a disclaimer,≤100,1
811271489259569,TC Giveaways,James Antonio Thorne,≤100,1
37684209618,Rushanara Ali,Rushanara Ali,≤100,1
348317322023581,South Gloucestershire Green Party,Matthew David Pash,≤100,2
1671602512856120,John Finucane Sinn Féin,John Finucane Sinn Féin,≤100,4
104038711037047,Phil Flowers Somerton Town Council,Philip Steven Flowers,≤100,2
604343479649878,Barwell - Bosworth Conservatives,Russell Bryn Roberts,≤100,1
425492444942149,Cradley Voting Bloc,Kevin Powis,≤100,3
667909793390787,Cllr Karen Lucioni,Karen Theresa Lucioni,≤100,2
510928369043924,Richard Graham,Richard Graham,≤100,1
905142386227194,Totnes Conservatives,Jamesandrew Heaven,≤100,2
34533701462,Grant Sharkey,Grant Edward Sharkey,≤100,1
490344074369935,The Common Weal - a vision for a better Scotland,Tiffany Margaret Kane,≤100,2
689974648047487,Wudwurk,Wudwurk,≤100,22
108337590526147,GOOXM,These ads ran without a disclaimer,≤100,1
603620649779505,Warrington Conservatives,Warrington Conservatives,≤100,2
1068379353174209,Bosworth Conservatives,Russell Bryn Roberts,≤100,1
733426460382084,Ben Everitt,Benjamin William Everitt,≤100,1
100854403381908,Pay Justice,These ads ran without a disclaimer,≤100,1
130571443639314,"Cllr Rachel Eden, Labour and Coop candidate for Reading West",Rachel Claire Eden,≤100,4
348903995142018,Therese Coffey,Therese Anne Coffey,≤100,1
232614013754086,Gloucester Liberal Democrats,Gloucester Liberal Democrats,≤100,1
1656102467953317,C&A Foundation,These ads ran without a disclaimer,≤100,1
273762566417823,Re-elect Martin Whitfield,Scottish Labour Party,≤100,1
1368853556569282,Labour Torridge & West Devon,James Andrew Craigie,≤100,1
285300222162620,"Podemos, con Pablo Iglesias, desde el Reino Unido.",Edgar Andrademartinez,≤100,1
1967201580196451,JoyceOnstad Libdems,Joyce Wangui Onstad,≤100,1
109582223777219,South Staffordshire Liberal Democrats,David Thomas Taylor,≤100,2
116509125035939,Christian Aid Ireland,These ads ran without a disclaimer,≤100,1
105725430776853,Hull & East Yorkshire for Europe,Patrick Eugene M Maguire,≤100,1
419785895493966,Glasgow South West SNP,Adrian Marshall Doherty,≤100,1
100941761274590,Haseeb Ur-Rehman Renew MP Candidate. Hackney North & Stoke Newington.,Haseeb Ur Rehpian,≤100,1
101357994594308,Paul Robertson SNP,Ricky David J Taylor,≤100,2
309963296566708,Extinction Rebellion Worcester,Benjamin John Russell,≤100,2
588983894810505,Alternate Escapes,Alternate Escapes,≤100,1
117452375490037,TwittElection,David Mark Cross,≤100,1
301519230216791,Daniel Norton for North East Bedfordshire,Daniel Norton,≤100,4
952484564834843,East Lothian Liberal Democrats,Stuart  Smith,≤100,1
1076803419028875,Ban Driven Grouse Shooting,These ads ran without a disclaimer,≤100,1
420198401916241,BrexitGloucestershire,Brexit Gloucestershire,≤100,1
160552517316592,Islam21c,Islam21c,≤100,3
475793402492671,William Wragg,William Wragg,≤100,1
265480670536763,Elmet and Rothwell Liberal Democrats,David Kenneth Hopps,≤100,2
632723050574026,Games Without Frontiers,These ads ran without a disclaimer,≤100,1
1716558425313999,SolidariTee National,These ads ran without a disclaimer,≤100,1
112697840089629,Matt Belsom,Matthew John Belsom,≤100,1
110786230353184,Northampton for a People's Vote,Richard James Cleaver,≤100,1
2298710050381742,Cowfoo,Matthew Paul Cooke,≤100,1
233604987579073,dinerbuyer.com,Anthony Peter Parkins,≤100,1
479880169227964,Sem for North East 2020,Semakaleng Mokgadi Moema,≤100,1
1055340414493730,Chris Rigby - Green Party,"Bournemouth, Christchurch & Poole Green Party",≤100,3
483269525132529,Ian Austin,Ian Austin Independent MP,≤100,1
100964111331676,Ruth Edwards For Rushcliffe,Rushcliffe Conservatives,≤100,1
1074779765872633,Mazur Accounting Solution,These ads ran without a disclaimer,≤100,1
219716098205318,The Red Lion Stodmarsh,These ads ran without a disclaimer,≤100,1
101731961250233,Sashi Mylvaganam - Lib Dems Basingstoke Parliamentary Candidate,Sasitharan Mylvaganam,≤100,4
101626401225287,Brexit Voting Analysis,David Th Mas Hatch,≤100,1
150463512345684,Infinity Bracelets of London,Jay Andrew Blades,≤100,1
1622890857969683,Congleton Constituency Liberal Democrats,Congleton Constituency Liberal Democrats,≤100,2
113007740131298,ECOtastical,These ads ran without a disclaimer,≤100,1
