Page ID,Page Name,Disclaimer,Amount Spent (GBP),Number of Ads in Library
776222955873798,East Herts for Europe,Michael John Galsworthy,≤100,1
102734363097680,Group B Strep Support (GBSS),Group B Strep Support (GBSS),≤100,1
303821710294530,WPIC Marketing + Technologies,These ads ran without a disclaimer,≤100,1
91511203627,Feenixpawl,These ads ran without a disclaimer,≤100,1
106602387389830,Malcolm McLeod - Brexit Party Rochester and Strood,Mr Malcolm Colin Mcleod,≤100,1
201719426624593,Park Training Initiative   ( PTI ),These ads ran without a disclaimer,≤100,2
261183627688236,Cllr Thomas Janke - Lib Dem Parliamentary Candidate - The Wrekin,Thomas Lucian Baden Janke,≤100,1
1821913851194325,William Reid Watches,WILLIAM PETER MCDONALD •,≤100,1
343749509070695,Cadogan Tate,These ads ran without a disclaimer,≤100,1
1202644299745559,It is my choice,These ads ran without a disclaimer,≤100,3
102721914441995,Extinction Rebellion Wellingborough,These ads ran without a disclaimer,≤100,1
115363553168328,Officialsudhirsharma,These ads ran without a disclaimer,≤100,1
173087829397613,Green Lane Masjid,Green Lane Masjid,≤100,1
106293660817609,FckBoris North Kensington,These ads ran without a disclaimer,≤100,1
762801087102682,Flamingos' Life,These ads ran without a disclaimer,≤100,13
104267331023591,Greenr Goods,These ads ran without a disclaimer,≤100,1
679047485439321,Paceweb UK,Darrell Leighton Carey,≤100,1
114810173249796,Zero Planet Waste,These ads ran without a disclaimer,≤100,1
567608949930201,Vikki Slade 4 Mid Dorset & North Poole,Mid Dorset & North Poole Liberal Democrats,≤100,1
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100,1
1711950229044932,Investment Superstore,These ads ran without a disclaimer,≤100,1
683802375393808,SAHP,These ads ran without a disclaimer,≤100,1
190809698073714,Collective Voice,These ads ran without a disclaimer,≤100,1
788605974864625,Jill Reilly for Edinburgh East,Jill Mary Reilly,≤100,1
220886868110099,The Bristol Cable,These ads ran without a disclaimer,≤100,1
183951592237917,North East Somerset Constituency Labour Party,Richard James Stelling,≤100,1
100984021363889,Mindroute,These ads ran without a disclaimer,≤100,1
501839263213943,Leeds North-West Labour,Niky William Rutherford,≤100,1
1159565407414586,Best Crowdfunding Videos,These ads ran without a disclaimer,≤100,1﻿
278077908880081,Moores Estate Agents,These ads ran without a disclaimer,≤100,1
299072343565477,South East Cambridgeshire Labour,Gareth Mark Wright,≤100,2
1522389011145703,Alton Liberal Democrats,Stephen Donald Hunt,≤100,2
2284664498462876,Matter,These ads ran without a disclaimer,≤100,1
580044992039479,TSCHNIK,These ads ran without a disclaimer,≤100,1
112979333433706,DIDOR,These ads ran without a disclaimer,≤100,1
1428389980798063,Londoni Könyvcentrum,These ads ran without a disclaimer,≤100,2
324557985115704,Buckshaw & Whittle,Adrian Riggott,≤100,1
105349067539337,Andrew Kerry-Bedell,These ads ran without a disclaimer,≤100,1
530318017490855,L&B Travellers,These ads ran without a disclaimer,≤100,1
100572744737972,"Suma Qamaña, Bolivianos en el Reino Unido apoyando el Proceso de Cambio",These ads ran without a disclaimer,≤100,1
504880190000384,Vegan Outfitters,These ads ran without a disclaimer,≤100,2
419370295131790,Selim Pacolli,These ads ran without a disclaimer,≤100,1
2051952048363809,East Grinstead Lib Dems,Mid Sussex Liberal Democrats,≤100,1
1669766426631217,Sy24,These ads ran without a disclaimer,≤100,1
145266863296,Blake,These ads ran without a disclaimer,≤100,1
469690717168051,Hertsmere Liberal Democrats,Hertsmere Liberal Democrats,≤100,1
203858973565193,Discovery Around You,These ads ran without a disclaimer,≤100,1
174730252601013,Robert Halfon,Simon Carter,≤100,2
1075362355838569,Dagiga Inc.,These ads ran without a disclaimer,≤100,1
149870175624457,Councillor Andrea Johnson: Conservative Cllr Compton Ward,Andrea Irene Johnson,≤100,1
1499781000288745,bloc,These ads ran without a disclaimer,≤100,1
458657697866953,Stalybridge and Hyde Conservatives,These ads ran without a disclaimer,≤100,2
242351902481164,The Radical Tea Towel Company,These ads ran without a disclaimer,≤100,1
1837111936610064,Chris Ostrowski,Watford Labour Party,≤100,1
1844020762330024,Tóme Anoshá,These ads ran without a disclaimer,≤100,1
750354738450034,"Stop The ""Aviva"" Incinerator, Barry - DIAG",These ads ran without a disclaimer,≤100,1
690486601104684,Liu Ruowang,These ads ran without a disclaimer,≤100,2
426629784733044,Felicity Owen Labour PPC for St Austell and Newquay,Graham Eric Walker,≤100,1
1054625784661111,Women in Food and Agriculture,These ads ran without a disclaimer,≤100,1
1344753008968781,Birds Aren't Real,These ads ran without a disclaimer,≤100,2
2277361705813017,Jessie for Tees Valley Mayor,Jessie Joe Jacobs,≤100,1
479405759534292,Sheffield stands with Hong Kong,These ads ran without a disclaimer,≤100,1
290798800937495,Kelvin Obareti,Kelvin  Ayokunmi Obareti,≤100,1
231234246939307,Westminster North Conservatives,Westminster North Conservatives,≤100,2
104920337538156,JL Honest Products,These ads ran without a disclaimer,≤100,2
595264663963696,Climate Genocide Act Now,These ads ran without a disclaimer,≤100,1
767952000001198,Синхронизация,These ads ran without a disclaimer,≤100,5
104693800977890,Josh Mackenzie for Halifax President,Joshua Zeke B Mackenzie,≤100,1
2251400988214226,Labour4Burntwood,Darren Michael O Ennis,≤100,1
151299025822248,Rotherham Conservatives,Rotherham and District Conservative Federation,≤100,1
1597899357110161,PresidentWorld,These ads ran without a disclaimer,≤100,2
111003510337626,Jyoti Dialani - Renew Parliamentary Candidate for Bromley & Chislehurst,These ads ran without a disclaimer,≤100,1
10974002364,Mental Floss,These ads ran without a disclaimer,≤100,1
342398056096961,Bind Media,These ads ran without a disclaimer,≤100,1
239014826235860,Murgon Music Muster,These ads ran without a disclaimer,≤100,2
